force,stroke
1428.398,0.1122812
1431.179,0.1124479
1433.452,0.1126146
1436.011,0.1127812
1439.039,0.1129479
1441.94,0.1131146
1443.998,0.1132813
1446.692,0.1134479
1449.768,0.1136146
1452.526,0.1137813
1455.132,0.1139479
1457.914,0.1141146
1460.012,0.1142813
1462.761,0.1144479
1465.623,0.1146146
1468.277,0.1147812
1470.812,0.1149479
1473.395,0.1151146
1475.962,0.1152812
1478.346,0.1154479
1481.12,0.1156146
1483.695,0.1157812
1486.468,0.1159479
1489.067,0.1161146
1491.833,0.1162812
1494.654,0.1164375
1497.038,0.1166042
1499.47,0.1167708
1502.212,0.1169375
1504.628,0.1171042
1506.901,0.1172708
1509.404,0.1174375
1511.804,0.1176042
1514.498,0.1177708
1517.359,0.1179375
1520.141,0.1181042
1522.668,0.1182708
1524.846,0.1184375
1527.325,0.1186146
1529.988,0.1187812
1532.801,0.1189479
1535.193,0.1191146
1537.561,0.1192812
1540.367,0.1194479
1543.061,0.1196146
1545.58,0.1197812
1548.274,0.1199479
1550.706,0.1201146
1553.067,0.1202812
1555.681,0.1204479
1558.018,0.1206146
1560.783,0.1207813
1563.565,0.1209479
1565.885,0.1211146
1568.548,0.1212813
1571.17,0.1214479
1573.531,0.1216146
1575.955,0.1217813
1578.482,0.1219479
1581.216,0.1221146
1584.077,0.1222812
1586.207,0.1224479
1588.432,0.1226146
1591.118,0.1227812
1594.162,0.1229479
1596.769,0.123125
1599.153,0.1232917
1601.33,0.1234583
1603.373,0.123625
1606.099,0.1237917
1609.063,0.1239583
1611.487,0.124125
1613.959,0.1242917
1616.74,0.1244583
1619.283,0.124625
1621.612,0.1247917
1624.568,0.1249583
1627.35,0.125125
1629.186,0.1252917
1631.188,0.1254583
1634.002,0.125625
1636.823,0.1257917
1639.056,0.1259583
1641.989,0.126125
1644.5,0.1262917
1646.495,0.1264583
1649.006,0.126625
1651.573,0.1267917
1653.981,0.1269583
1656.604,0.127125
1658.956,0.1272917
1661.412,0.1274479
1663.971,0.1276146
1666.586,0.1277812
1668.97,0.1279479
1671.179,0.1281146
1674.072,0.1282813
1677.1,0.1284479
1679.675,0.1286146
1681.582,0.1287812
1683.998,0.1289479
1686.541,0.1291146
1689.402,0.1292813
1691.659,0.1294479
1693.892,0.1296146
1696.412,0.1297812
1698.899,0.1299479
1701.554,0.1301146
1704.089,0.1302813
1706.616,0.1304479
1709.151,0.1306146
1711.512,0.1307812
1713.792,0.1309479
1716.63,0.1311146
1719.117,0.1312812
1721.311,0.1314479
1723.965,0.1316146
1726.254,0.1317813
1728.376,0.1319479
1731.197,0.1321146
1734.13,0.1322812
1736.085,0.1324479
1738.715,0.1326146
1741.536,0.1327813
1744.064,0.1329479
1746.36,0.1331146
1748.53,0.1332812
1750.986,0.1334479
1753.481,0.1336146
1755.905,0.1337813
1758.361,0.1339479
1760.968,0.1341146
1763.535,0.1342812
1766.006,0.1344479
1768.756,0.1346146
1771.609,0.1347812
1773.93,0.1349479
1776.012,0.1351146
1778.34,0.1352812
1780.772,0.1354479
1783.339,0.1356146
1785.811,0.1357812
1788.608,0.1359479
1790.961,0.1361146
1793.162,0.1362813
1795.832,0.1364479
1797.779,0.1366146
1800.617,0.1367812
1803.549,0.1369479
1806.005,0.1371146
1808.016,0.1372813
1810.702,0.1374479
1813.563,0.1376146
1815.534,0.1377708
1817.846,0.1379375
1820.644,0.1381042
1822.909,0.1382708
1824.864,0.1384375
1827.105,0.1386042
1830.045,0.1387708
1832.755,0.1389375
1835.147,0.1391146
1837.428,0.1392708
1839.487,0.1394479
