Sample,,,
Time,Force,Stroke,Gauge
sec,N,mm,mm
3.61,656.7161,0.05961458,0.01017761
3.62,658.9651,0.05978125,0.01017761
3.63,660.6023,0.05994792,0.01013565
3.64,662.6368,0.06011458,0.01013565
3.65,664.9733,0.06028125,0.009962082
3.66,667.0157,0.06045833,0.009687424
3.67,668.629,0.060625,0.009687424
3.68,670.4886,0.06079167,0.009687424
3.69,672.5391,0.06095833,0.009458542
3.7,674.7405,0.061125,0.009458542
3.71,676.9896,0.06129166,0.00942421
3.72,679.1432,0.06145833,0.00942421
3.73,681.1619,0.061625,0.009645462
3.74,683.0692,0.06179167,0.009645462
3.75,685.0084,0.06195833,0.01004791
3.76,686.6932,0.062125,0.01052094
3.77,688.8707,0.06229167,0.01052094
3.78,691.1675,0.06245833,0.01099014
3.79,692.8285,0.062625,0.01099014
3.8,694.9266,0.06279167,0.01140404
3.81,696.5717,0.06295833,0.01171494
3.82,698.6618,0.063125,0.01171494
3.83,700.8076,0.06329167,0.01171494
3.84,702.7388,0.06345833,0.01171494
3.85,705.0753,0.063625,0.01194572
3.86,707.0065,0.06379166,0.01219749
3.87,708.7787,0.06395833,0.01219749
3.88,710.6542,0.064125,0.01219749
3.89,712.8,0.06429166,0.0125103
3.9,714.612,0.06445833,0.0125103
3.91,716.424,0.06461458,0.01279068
3.92,718.4028,0.06478125,0.01290703
3.93,720.2308,0.06494792,0.01290703
3.94,722.4242,0.06511458,0.01290703
3.95,724.1487,0.06528125,0.01286507
3.96,726.5012,0.06544792,0.01286507
3.97,728.2893,0.06561458,0.01286507
3.98,730.5225,0.06578125,0.01294518
3.99,732.549,0.06594791,0.01294518
4,734.2339,0.06611458,0.01294518
4.01,735.9187,0.06628125,0.01315689
4.02,738.3347,0.06644791,0.01315689
4.03,740.544,0.06661458,0.01332664
4.04,742.4196,0.06678125,0.01332664
4.05,744.3269,0.06694791,0.01335907
4.06,746.1786,0.06711458,0.01335907
4.07,748.4515,0.06728125,0.01325417
4.08,750.9868,0.06744792,0.01325417
4.09,752.5285,0.06761459,0.01307297
4.1,754.6425,0.06778125,0.01290894
4.11,756.8439,0.06794792,0.01290894
4.12,758.8386,0.06811459,0.01290894
4.13,760.7858,0.06828125,0.01282883
4.14,762.9871,0.06844792,0.01282883
4.15,764.9024,0.06861458,0.01284599
4.16,766.7462,0.06878125,0.01284599
4.17,769.194,0.06894792,0.01293755
4.18,771.4271,0.06911458,0.01293755
4.19,773.6603,0.06928125,0.01327133
4.2,775.8697,0.06944791,0.01327133
4.21,777.9916,0.06961458,0.01327133
4.22,779.7639,0.06978125,0.0134964
4.23,781.7745,0.06994791,0.0134964
4.24,784.0078,0.07011458,0.01368904
4.25,786.3204,0.07028125,0.01368904
4.26,788.7523,0.07044791,0.01379585
4.27,791.0331,0.07061458,0.01379585
4.28,793.3696,0.07078125,0.01381302
4.29,795.1498,0.07094792,0.01381302
4.3,797.5101,0.07111458,0.01381302
4.31,799.9659,0.07128125,0.01381302
4.32,802.2785,0.07144792,0.01387978
4.33,804.4402,0.07161459,0.01387978
4.34,806.6018,0.07178125,0.01387978
4.35,809.1688,0.07194792,0.01408005
4.36,811.7835,0.07211458,0.01441383
4.37,814.2551,0.07228125,0.01441383
4.38,816.2896,0.07244792,0.01481819
4.39,818.483,0.07261458,0.01481819
4.4,820.6924,0.07278125,0.01481819
4.41,823.1004,0.07294792,0.01519012
4.42,825.3574,0.07311458,0.01519012
4.43,827.4396,0.07328125,0.01519012
4.44,829.8953,0.07344791,0.01519012
4.45,832.3033,0.07361458,0.01551056
4.46,834.3538,0.07378125,0.01551056
4.47,836.579,0.07394791,0.01551056
4.48,839.4639,0.07411458,0.01558304
4.49,841.8401,0.07428125,0.01558304
4.5,843.9779,0.07444791,0.0158596
4.51,846.1793,0.07461458,0.0158596
4.52,848.1503,0.07478125,0.01644325
4.53,850.6378,0.07494792,0.01710701
4.54,852.9822,0.07511459,0.01710701
4.55,855.2472,0.07528125,0.01738739
4.56,857.3771,0.0754375,0.01738739
4.57,859.642,0.07560416,0.01694298
4.58,861.7322,0.07577083,0.01694298
4.59,863.9653,0.0759375,0.01464462
4.6,866.0555,0.07610416,0.01464462
4.61,868.5271,0.07627083,0.01464462
4.62,871.4835,0.0764375,0.01464462
4.63,873.812,0.07660417,0.01375389
4.64,876.0134,0.07678125,0.01375389
4.65,878.2466,0.07694791,0.01350594
4.66,880.5513,0.07711458,0.01350594
4.67,883.2772,0.07728125,0.01391411
4.68,885.6456,0.07744791,0.01391411
4.69,888.2284,0.07761458,0.01391411
4.7,890.8589,0.07778125,0.01477432
4.71,892.9412,0.07794791,0.01583481
4.72,895.2697,0.07811458,0.01583481
4.73,897.7811,0.07828125,0.01583481
4.74,899.7838,0.07844792,0.01692963
4.75,902.2156,0.07861459,0.01692963
4.76,904.3773,0.07878125,0.01794052
4.77,906.9204,0.07894792,0.01794052
4.78,909.2252,0.07911459,0.01870728
4.79,911.5378,0.07928125,0.01906967
4.8,914.1127,0.07944792,0.01906967
4.81,916.9896,0.07961458,0.01896095
4.82,919.3182,0.07978125,0.01841927
4.83,921.3209,0.07994792,0.01841927
4.84,923.5461,0.08011458,0.01754951
4.85,925.6522,0.08028125,0.01652145
4.86,928.8629,0.08044791,0.01652145
4.87,931.2232,0.08061458,0.01554871
4.88,933.5439,0.08078125,0.01554871
4.89,936.1823,0.08094791,0.01477432
4.9,938.5347,0.08111458,0.01477432
4.91,940.9825,0.08128125,0.01418686
4.92,943.3826,0.08144791,0.01369476
4.93,945.576,0.08161458,0.01369476
4.94,948.4132,0.08179167,0.01369476
4.95,950.9564,0.08195833,0.01327705
4.96,953.3405,0.082125,0.01327705
4.97,955.6453,0.08229166,0.0130825
4.98,958.1407,0.08245833,0.0130825
4.99,960.8586,0.082625,0.01329422
5,963.6402,0.08279166,0.01329422
5.01,966.1198,0.08295833,0.01391602
5.02,968.0112,0.083125,0.01391602
5.03,970.5305,0.08329166,0.01474571
5.04,973.1849,0.08345833,0.01474571
5.05,976.1174,0.083625,0.01554108
5.06,978.3347,0.08379167,0.01620865
5.07,980.6712,0.08395834,0.01620865
5.08,983.1667,0.084125,0.01675224
5.09,985.5906,0.08429167,0.01675224
5.1,988.1735,0.08445833,0.01709175
5.11,990.359,0.084625,0.01709175
5.12,993.2836,0.08479167,0.01707458
5.13,996.0572,0.08495833,0.01707458
5.14,998.3699,0.085125,0.01707458
5.15,1000.73,0.08529167,0.0166893
5.16,1003.178,0.08544791,0.01616478
5.17,1005.53,0.08561458,0.01575851
5.18,1008.121,0.08578125,0.01575851
5.19,1010.521,0.08594792,0.01575851
5.2,1013.08,0.08611459,0.01556587
5.21,1015.743,0.08628125,0.01551056
5.22,1018.182,0.08644792,0.01551056
5.23,1020.845,0.08661458,0.01551056
5.24,1023.507,0.08678125,0.01546478
5.25,1025.748,0.08694792,0.01546478
5.26,1028.013,0.08711458,0.01532745
5.27,1030.596,0.08728125,0.01532745
5.28,1033.171,0.08744792,0.0151062
5.29,1035.77,0.08761458,0.01490974
5.3,1038.496,0.08778125,0.01490974
5.31,1041.237,0.08794791,0.01490974
5.32,1043.2,0.08811458,0.01489449
5.33,1045.609,0.08828125,0.0151577
5.34,1048.478,0.08844791,0.0151577
5.35,1051.307,0.08861458,0.01572227
5.36,1054.017,0.08878125,0.01572227
5.37,1056.568,0.08894791,0.01654625
5.38,1058.745,0.08911458,0.01654625
5.39,1061.416,0.08928125,0.01764488
5.4,1064.173,0.08944792,0.01764488
5.41,1066.629,0.08961459,0.01764488
5.42,1069.252,0.08978125,0.01764488
5.43,1072.009,0.08994792,0.01910973
5.44,1074.696,0.09011459,0.02097702
5.45,1076.523,0.09027083,0.02097702
5.46,1079.21,0.09044792,0.02305031
5.47,1081.729,0.09061458,0.02305031
5.48,1084.169,0.09078125,0.02484322
5.49,1087.038,0.09094792,0.02586937
5.5,1089.668,0.09111458,0.02586937
5.51,1091.79,0.09128125,0.02586937
5.52,1094.437,0.09144791,0.02599525
5.53,1096.892,0.09161458,0.02549171
5.54,1099.324,0.09178125,0.02549171
5.55,1101.923,0.09194791,0.02549171
5.56,1104.275,0.09211458,0.02477646
5.57,1107.224,0.09228125,0.02477646
5.58,1110.148,0.09244791,0.02409935
5.59,1113.065,0.09261458,0.02409935
5.6,1115.95,0.09278125,0.02409935
5.61,1118.271,0.09294792,0.02305031
5.62,1120.583,0.09311458,0.02305031
5.63,1122.729,0.09328125,0.02305031
5.64,1125.248,0.09344792,0.02265739
5.65,1128.022,0.09361459,0.02265739
5.66,1130.406,0.09378125,0.02235603
5.67,1133.14,0.09394792,0.02235603
5.68,1135.874,0.09411458,0.02235603
5.69,1138.536,0.09428125,0.02235603
5.7,1141.286,0.09444792,0.02193642
5.71,1143.877,0.09461458,0.02193642
5.72,1146.444,0.09478125,0.02193642
5.73,1149.066,0.09494792,0.02177238
5.74,1151.991,0.09511458,0.02163696
5.75,1154.534,0.09528125,0.02163696
5.76,1156.791,0.09544791,0.02163696
5.77,1159.485,0.09561458,0.02152634
5.78,1162.362,0.09578125,0.02144051
5.79,1164.897,0.0959375,0.02144051
5.8,1167.377,0.09610417,0.02139091
5.81,1169.856,0.09627083,0.02139091
5.82,1172.59,0.0964375,0.02143097
5.83,1175.284,0.09660417,0.02166176
5.84,1178.161,0.09677083,0.02166176
5.85,1180.553,0.0969375,0.02218246
5.86,1183.136,0.09710416,0.02218246
5.87,1186.164,0.09727083,0.02218246
5.88,1188.763,0.0974375,0.0241394
5.89,1191.394,0.09760416,0.0241394
5.9,1194.167,0.09777083,0.0241394
5.91,1196.655,0.09794792,0.0241394
5.92,1199.436,0.09811458,0.02531624
5.93,1202.011,0.09828125,0.02531624
5.94,1204.236,0.09844792,0.02633286
5.95,1206.7,0.09861458,0.02695847
5.96,1210.014,0.09878125,0.02695847
5.97,1212.931,0.09894791,0.02703094
5.98,1215.863,0.09911458,0.02703094
5.99,1218.184,0.09928125,0.02648544
6,1220.711,0.09944791,0.02648544
6.01,1223.214,0.09961458,0.02648544
6.02,1225.877,0.09978125,0.02648544
6.03,1228.873,0.09994791,0.02541924
6.04,1231.527,0.1001146,0.0240612
6.05,1234.611,0.1002812,0.0240612
6.06,1236.868,0.1004479,0.02272606
6.07,1239.173,0.1006146,0.02172279
6.08,1241.922,0.1007812,0.02172279
6.09,1244.545,0.1009479,0.02122116
6.1,1247.438,0.1011146,0.02122116
6.11,1250.561,0.1012812,0.02122116
6.12,1253.168,0.1014479,0.02122116
6.13,1255.504,0.1016146,0.02159691
6.14,1258.151,0.1017812,0.02159691
6.15,1261.131,0.1019479,0.02222633
6.16,1264.04,0.102125,0.022995
6.17,1266.495,0.1022917,0.022995
6.18,1269.412,0.1024583,0.022995
6.19,1272.067,0.102625,0.02375031
6.2,1274.594,0.1027917,0.02375031
6.21,1277.51,0.1029583,0.02429008
6.22,1279.958,0.103125,0.02447128
6.23,1282.875,0.1032917,0.02447128
6.24,1285.672,0.1034583,0.0243206
6.25,1287.961,0.103625,0.02402687
6.26,1290.433,0.1037917,0.02402687
6.27,1293.198,0.1039583,0.02379417
6.28,1296.107,0.104125,0.02379417
6.29,1298.833,0.1042917,0.02379417
6.3,1301.392,0.1044583,0.02375031
6.31,1304.69,0.104625,0.02391815
6.32,1307.535,0.1047917,0.02391815
6.33,1310.031,0.1049583,0.02427101
6.34,1312.923,0.105125,0.02427101
6.35,1315.689,0.1052917,0.02474213
6.36,1318.502,0.1054583,0.02474213
6.37,1321.292,0.105625,0.02523041
6.38,1323.835,0.1057917,0.02558327
6.39,1326.188,0.1059583,0.02558327
6.4,1329.184,0.106125,0.02558327
6.41,1331.727,0.1062813,0.02565384
6.42,1334.278,0.1064479,0.02565384
6.43,1337.147,0.1066146,0.02534676
6.44,1339.563,0.1067813,0.02534676
6.45,1342.13,0.1069479,0.0247097
6.46,1344.832,0.1071146,0.02393341
6.47,1347.502,0.1072812,0.02393341
6.48,1350.18,0.1074479,0.02393341
6.49,1353.168,0.1076146,0.02393341
6.5,1356.006,0.1077812,0.02326393
6.51,1358.239,0.1079479,0.02284431
6.52,1360.552,0.1081146,0.02284431
6.53,1363.659,0.1082812,0.02267075
6.54,1366.409,0.1084479,0.02266121
6.55,1369.254,0.1086146,0.02266121
6.56,1371.996,0.1087812,0.02274513
